url	directory	proof_assistant	transport	sync_group	discovered_via
https://github.com/functionally/crypto-lean4	reservoir-sources/functionally__crypto-lean4	lean	git	bulk	reservoir
https://github.com/fushanbobfan/proofnet-ir	reservoir-sources/fushanbobfan__proofnet-ir	lean	git	bulk	reservoir
https://github.com/FWuermse/lean-postgres	reservoir-sources/FWuermse__lean-postgres	lean	git	bulk	reservoir
https://github.com/GaloisInc/zkLean	reservoir-sources/GaloisInc__zkLean	lean	git	bulk	reservoir
https://github.com/GasStationManager/ArtificialAlgorithms	reservoir-sources/GasStationManager__ArtificialAlgorithms	lean	git	bulk	reservoir
https://github.com/GasStationManager/LeanTool	reservoir-sources/GasStationManager__LeanTool	lean	git	bulk	reservoir
https://github.com/gdncc/Cryptography	reservoir-sources/gdncc__Cryptography	lean	git	bulk	reservoir
https://github.com/gebner/hott3	gebner__hott3	lean	git	routine	registry
https://github.com/Geoc2022/AlgebraGame	reservoir-sources/Geoc2022__AlgebraGame	lean	git	bulk	reservoir
https://github.com/girafe-ai/lean-course	reservoir-sources/girafe-ai__lean-course	lean	git	bulk	reservoir
https://github.com/girving/bottcher	reservoir-sources/girving__bottcher	lean	git	bulk	reservoir
https://github.com/girving/interval	girving__interval	lean	git	routine	registry
https://github.com/girving/ray	girving__ray	lean	git	routine	registry
https://github.com/girving/ray-render	reservoir-sources/girving__ray-render	lean	git	bulk	reservoir
https://github.com/girving/series	reservoir-sources/girving__series	lean	git	bulk	reservoir
https://github.com/glams-lean-2024/formal-2024	reservoir-sources/glams-lean-2024__formal-2024	lean	git	bulk	reservoir
https://github.com/goens/lean-hoare	reservoir-sources/goens__lean-hoare	lean	git	bulk	reservoir
https://github.com/goens/lost-pop-lean	reservoir-sources/goens__lost-pop-lean	lean	git	bulk	reservoir
https://github.com/google-deepmind/alphaproof-nexus-results	google-deepmind__alphaproof-nexus-results	lean	git	routine	registry
https://github.com/google-deepmind/debate	reservoir-sources/google-deepmind__debate	lean	git	bulk	reservoir
https://github.com/google-deepmind/formal-conjectures	google-deepmind__formal-conjectures	lean	git	routine	registry
https://github.com/google-deepmind/formal-imo	reservoir-sources/google-deepmind__formal-imo	lean	git	bulk	reservoir
https://github.com/google-deepmind/formal-putnam-like	reservoir-sources/google-deepmind__formal-putnam-like	lean	git	bulk	reservoir
https://github.com/google-deepmind/miniF2F	reservoir-sources/google-deepmind__miniF2F	lean	git	bulk	reservoir
https://github.com/gsierra99/ExFormMathL4	reservoir-sources/gsierra99__ExFormMathL4	lean	git	bulk	reservoir
